play_id,game_id,season,week,season_type,home_team,away_team,play_deleted,touchdown,pass_touchdown,rush_touchdown,return_touchdown,interception,fumble,fumble_lost,kickoff_attempt,punt_attempt,punt_blocked,field_goal_attempt,extra_point_attempt,two_point_attempt,defensive_two_point_conv,defensive_extra_point_conv,safety,special,special_teams_play,play_type,play_type_nfl,posteam,defteam,td_team,td_player_id,return_team,fumble_recovery_1_team,fumble_recovery_2_team,fumbled_1_team,fumbled_2_team,field_goal_result,extra_point_result,two_point_conv_result,st_play_type,posteam_score,defteam_score,posteam_score_post,defteam_score_post,fumble_recovery_1_player_id,fumble_recovery_2_player_id,fumbled_1_player_id,fumbled_2_player_id
3713,2019_13_OAK_KC,2019,13,REG,KC,LV,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,extra_point,XP_KICK,LV,KC,,,,,,,,,blocked,,,9,38,9,40,,,,
3380,2019_17_PIT_BAL,2019,17,REG,BAL,PIT,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,run,UNSPECIFIED,PIT,BAL,BAL,00-0031559,,PIT,BAL,PIT,,,,,,10,19,10,25,00-0031502,00-0031559,00-0031502,
