season,week,team,season_type,game_id,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,passing_10,passing_16,passing_20,passing_40,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,rushing_10,rushing_12,rushing_20,rushing_40,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,receiving_10,receiving_16,receiving_20,receiving_40,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,fumbles_forced_by_opp,fumbles_not_forced,fumbles_out_of_bounds,fumbles_total,fumbles_lost_total,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance,pt_att,pt_blocked,pt_long,pt_yards,pt_inside_20,pt_out_of_bounds,pt_downed,pt_touchback,pt_fair_caught,pt_returned,pt_return_yards,pt_return_tds,pt_net_yards
2024,1,CHI,REG,2024_01_TEN_CHI,TEN,14,29,93,0,0,2,-29,0,0,214,48,5,-12.146704188691,-19.8383863629966,1,4,0,0,0,22,84,0,0,0,6,-0.795930482714666,0,3,2,1,0,14,29,93,0,1,0,214,48,5,-8.07137292242008,1,4,0,0,0,1,40,8,22,8,34,1,3,23,10,2,52,4,1,0,0,21,2,0,1,0,0,7,55,1,1,2,0,3,1,5,64,2,67,3,3,0,0,50,1,0,1,0,1,1,0,0,0,0,0,0,0,24;50;48,,,122,0,0,1,1,0,0,1,0,0,0,0,0,6,0,60,270,3,0,0,1,1,4,30,0,220
2024,1,TEN,REG,2024_01_TEN_CHI,CHI,19,32,127,1,2,3,-23,1,1,225,50,6,-18.1711794079763,4.88122100079501,0,4,3,2,0,26,140,1,0,0,9,2.05835585555178,0,5,3,1,0,19,27,127,1,0,0,225,50,6,1.21847585804062,0,4,3,2,0,0,31,6,18,8,43,1,2,29,4,0,0,5,0,0,0,0,0,0,1,0,0,8,50,4,1,0,0,1,1,4,30,5,127,1,1,0,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,40,,,40,0,0,2,2,0,0,1,0,0,0,0,0,5,1,59,268,1,0,0,0,0,5,64,0,204
2024,19,BAL,POST,2024_19_PIT_BAL,PIT,16,21,175,2,0,1,-10,0,0,118,86,10,9.44676650711335,12.7609108623705,0,6,5,4,0,50,299,2,0,0,16,6.74601044150768,0,6,6,3,1,16,19,175,2,0,0,118,86,10,12.2105035489076,0,6,5,4,0,0,23,1,21,3,19,0,4,19,7,0,0,1,0,1,0,0,1,0,0,0,0,3,14,3,0,1,0,1,0,1,4,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,4,4,0,0,1,0,0,0,0,0,4,0,49,183,1,0,1,1,1,1,14,0,149
2024,19,PIT,POST,2024_19_PIT_BAL,BAL,20,30,270,2,0,4,-19,0,0,249,126,9,7.64407936751377,10.3360381263953,0,8,6,6,0,11,29,0,0,0,2,-2.51975205447525,0,0,0,0,0,20,26,270,2,0,0,249,126,9,15.0810282636667,0,8,6,6,0,0,44,3,35,5,20,0,1,10,1,0,0,2,0,0,0,0,0,0,0,0,0,7,41,4,0,0,0,0,0,1,14,1,26,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,2,2,0,0,1,0,0,0,0,0,5,0,60,257,5,0,2,0,2,1,4,0,253
